Type,Class,Name,March,April,May,June,July,August,S13 August,S13 September
Skill,Amazon,Jab,188,165,142,174,171,172,171,169
Skill,Amazon,Power Strike,1336,1358,1335,1365,1286,1306,1295,1274
Skill,Amazon,Poison Javelin,348,392,368,369,365,366,346,326
Skill,Amazon,Fend,74,54,53,53,54,54,54,53
Skill,Amazon,Lightning Bolt,1282,1300,1279,1275,1212,1232,1222,1220
Skill,Amazon,Charged Strike,977,997,999,999,932,952,958,958
Skill,Amazon,Plague Javelin,408,464,424,422,417,418,397,377
Skill,Amazon,Molten Strike,109,51,32,51,51,51,51,51
Skill,Amazon,Lightning Strike,635,647,642,625,599,610,626,614
Skill,Amazon,Lightning Fury,1381,1381,1360,1380,1290,1310,1290,1270
Skill,Amazon,Inner Sight,270,261,263,262,261,261,260,258
Skill,Amazon,Lethal Strike,1335,1315,1326,1327,1331,1331,1316,1298
Skill,Amazon,Phase Run,374,377,380,387,374,374,371,364
Skill,Amazon,Dodge,394,369,371,366,369,369,367,365
Skill,Amazon,Avoid,374,346,351,346,349,349,346,344
Skill,Amazon,Penetrate,768,729,714,727,739,739,740,711
Skill,Amazon,Evade,267,252,257,255,258,258,257,254
Skill,Amazon,Decoy,127,126,125,124,123,123,123,122
Skill,Amazon,Valkyrie,756,714,713,729,693,693,700,691
Skill,Amazon,Pierce,927,917,902,919,915,916,913,909
Skill,Amazon,Cold Arrow,817,829,896,897,938,937,957,995
Skill,Amazon,Magic Arrow,266,288,311,310,340,339,340,326
Skill,Amazon,Multiple Shot,1340,1349,1382,1361,1394,1383,1364,1357
Skill,Amazon,Fire Arrow,1074,1060,1105,1098,1153,1164,1146,1143
Skill,Amazon,Ice Arrow,697,737,815,797,837,837,858,898
Skill,Amazon,Guided Arrow,270,298,305,306,291,289,289,288
Skill,Amazon,Exploding Arrow,578,561,557,536,567,583,578,576
Skill,Amazon,Strafe,375,431,451,450,467,466,486,472
Skill,Amazon,Immolation Arrow,1299,1318,1341,1304,1341,1321,1326,1324
Skill,Amazon,Freezing Arrow,580,627,668,685,725,725,746,786
Skill,Assassin,Dragon Claw,103,105,112,111,115,116,115,112
Skill,Assassin,Tiger Strike,191,172,171,172,175,174,175,155
Skill,Assassin,Dragon Talon,120,122,129,128,132,133,150,128
Skill,Assassin,Fists of Fire,622,655,751,750,754,736,676,656
Skill,Assassin,Cobra Strike,305,349,392,393,413,403,412,398
Skill,Assassin,Claws of Thunder,671,693,812,811,815,797,756,736
Skill,Assassin,Dragon Flight,139,141,148,147,151,152,169,147
Skill,Assassin,Blades of Ice,807,809,928,925,947,948,881,861
Skill,Assassin,Claw Mastery,574,541,586,582,571,591,580,541
Skill,Assassin,Psychic Hammer,235,216,202,223,223,222,262,241
Skill,Assassin,Burst of Speed,637,610,591,606,594,595,599,598
Skill,Assassin,Weapon Block,240,247,268,260,262,256,259,242
Skill,Assassin,Cloak of Shadows,238,219,205,226,226,225,264,244
Skill,Assassin,Fade,252,252,273,274,273,273,289,272
Skill,Assassin,Shadow Warrior,91,71,143,147,148,147,149,147
Skill,Assassin,Mind Blast,179,156,137,157,156,156,195,175
Skill,Assassin,Venom,268,286,315,331,334,335,355,332
Skill,Assassin,Shadow Master,645,637,680,740,769,768,827,767
Skill,Assassin,Fire Blast,2683,2675,2579,2551,2587,2607,2594,2654
Skill,Assassin,Shock Web,231,237,240,222,193,193,174,174
Skill,Assassin,Blade Throw,500,527,491,499,504,516,516,523
Skill,Assassin,Charged Bolt Sentry,255,268,268,250,212,212,192,193
Skill,Assassin,Wake of Fire,2670,2651,2553,2535,2575,2595,2576,2636
Skill,Assassin,Blade Fury,934,900,902,904,932,967,1007,1022
Skill,Assassin,Lightning Sentry,488,469,469,452,414,415,405,422
Skill,Assassin,Wake of Inferno,2663,2643,2544,2524,2543,2563,2543,2603
Skill,Assassin,Death Sentry,629,605,584,579,563,549,546,566
Skill,Assassin,Blade Shield,2256,2290,2213,2208,2246,2293,2308,2344
Skill,Barbarian,Howl,194,193,211,211,192,192,192,191
Skill,Barbarian,Find Potion,150,151,154,153,153,153,153,153
Skill,Barbarian,Taunt,411,450,451,488,545,525,526,543
Skill,Barbarian,Shout,500,501,518,484,483,483,482,481
Skill,Barbarian,Find Item,223,227,249,228,247,247,247,249
Skill,Barbarian,Battle Cry,2184,2188,2095,2058,2102,2117,2127,2087
Skill,Barbarian,Battle Orders,1652,1654,1749,1746,1813,1810,1810,1818
Skill,Barbarian,Grim Ward,1589,1591,1630,1592,1600,1633,1655,1630
Skill,Barbarian,War Cry,338,377,354,393,453,433,433,453
Skill,Barbarian,Battle Command,993,995,963,949,966,950,917,916
Skill,Barbarian,Edged Weapon Mastery,632,653,652,705,678,681,681,677
Skill,Barbarian,Pole Weapon Mastery,803,781,775,734,734,735,730,748
Skill,Barbarian,Blunt Weapon Mastery,601,638,677,677,637,598,599,578
Skill,Barbarian,Thrown Weapon Mastery,121,102,142,168,168,168,189,210
Skill,Barbarian,Increased Stamina,260,259,240,254,258,239,239,239
Skill,Barbarian,Counter Attack,129,129,110,111,110,108,101,100
Skill,Barbarian,Iron Skin,364,365,377,377,378,378,391,391
Skill,Barbarian,Increased Speed,250,249,235,216,215,234,225,225
Skill,Barbarian,Puncture,165,165,143,144,144,143,144,143
Skill,Barbarian,Natural Resistance,320,328,329,317,331,324,308,308
Skill,Barbarian,Whirling Axes,2221,2201,2103,2023,1984,2003,2005,1945
Skill,Barbarian,Double Swing,2133,2082,1989,1951,1928,1947,1908,1849
Skill,Barbarian,Concentrate,152,151,191,191,169,169,168,166
Skill,Barbarian,Cleave,241,220,222,241,238,239,239,237
Skill,Barbarian,Frenzy,335,334,296,308,306,305,265,267
Skill,Barbarian,Stun,151,150,171,188,166,166,168,166
Skill,Barbarian,Leap Slam,387,385,405,424,421,441,460,458
Skill,Barbarian,Double Throw,0,0,0,0,,0,0,0
Skill,Barbarian,Bash,330,313,353,411,379,380,415,432
Skill,Barbarian,Ethereal Throw,143,123,124,164,164,164,184,205
Skill,Barbarian,Whirlwind,1550,1541,1509,1483,1463,1425,1426,1401
Skill,Druid,Firestorm,448,501,527,545,577,577,585,586
Skill,Druid,Molten Boulder,1081,1079,1080,1079,1133,1152,1146,1147
Skill,Druid,Flame Dash,1058,1045,1012,1026,1031,1050,990,990
Skill,Druid,Arctic Blast,203,231,178,213,233,194,193,213
Skill,Druid,Fissure,351,354,355,355,359,360,359,360
Skill,Druid,Cyclone Armor,258,203,185,226,239,208,210,230
Skill,Druid,Twister,444,445,364,420,424,423,425,445
Skill,Druid,Volcano,213,246,258,258,281,282,300,301
Skill,Druid,Tornado,531,566,454,477,510,497,497,498
Skill,Druid,Armageddon,558,619,639,620,689,691,688,689
Skill,Druid,Hurricane,668,726,587,630,618,618,630,650
Skill,Druid,Werewolf,294,334,358,365,362,382,389,380
Skill,Druid,Lycanthropy,1678,1733,1764,1754,1712,1732,1772,1772
Skill,Druid,Werebear,671,632,654,607,588,588,608,608
Skill,Druid,Feral Rage,147,152,185,194,191,192,209,201
Skill,Druid,Maul,917,873,886,825,807,807,827,827
Skill,Druid,Rabies,988,1011,1012,1034,1012,1013,1033,1032
Skill,Druid,Fire Claws,101,82,102,82,122,122,142,142
Skill,Druid,Hunger,0,0,0,1,,0,0,0
Skill,Druid,Shock Wave,703,663,683,643,623,623,643,643
Skill,Druid,Fury,151,217,237,276,256,275,276,256
Skill,Druid,Raven,211,189,189,207,204,185,184,188
Skill,Druid,Poison Creeper,1133,1146,1152,1170,1130,1131,1133,1134
Skill,Druid,Heart of Wolverine,1051,1059,1130,1122,1064,1064,1050,1032
Skill,Druid,Summon Spirit Wolf,731,647,655,638,593,599,580,581
Skill,Druid,Carrion Vine,52,44,45,57,57,58,58,59
Skill,Druid,Oak Sage,1607,1618,1603,1586,1532,1513,1549,1531
Skill,Druid,Summon Dire Wolf,1857,1798,1848,1792,1729,1739,1740,1741
Skill,Druid,Solar Creeper,29,36,28,44,44,45,46,46
Skill,Druid,Spirit of Barbs,60,59,59,57,34,35,36,37
Skill,Druid,Summon Grizzly,1170,1046,1065,1026,991,994,977,959
Skill,Necromancer,Summon Mastery,2308,2360,2397,2430,2487,2481,2460,2473
Skill,Necromancer,Raise Skeleton Warrior,560,615,583,603,606,606,617,636
Skill,Necromancer,Bone Offering,32,35,35,36,35,35,35,34
Skill,Necromancer,Clay Golem,227,223,227,223,225,223,218,216
Skill,Necromancer,Flesh Offering,50,50,51,50,51,51,51,64
Skill,Necromancer,Raise Skeletal Mage,428,522,527,544,566,566,550,570
Skill,Necromancer,Blood Golem,389,389,402,402,393,391,386,403
Skill,Necromancer,Convocation,2256,2162,2252,2285,2315,2327,2298,2239
Skill,Necromancer,Iron Golem,113,116,120,124,129,129,127,126
Skill,Necromancer,Fire Golem,1744,1748,1828,1869,1915,1896,1875,1855
Skill,Necromancer,Revive,484,518,513,528,544,528,520,520
Skill,Necromancer,Deadly Poison,615,591,663,705,745,744,723,703
Skill,Necromancer,Teeth,25,25,45,45,45,25,25,25
Skill,Necromancer,Bone Armor,209,200,210,211,212,210,197,195
Skill,Necromancer,Corpse Explosion,1992,1965,2067,2103,2162,2141,2100,2079
Skill,Necromancer,Desecrate,979,930,1018,1077,1117,1116,1095,1075
Skill,Necromancer,Bone Spear,35,35,55,55,55,35,34,34
Skill,Necromancer,Bone Wall,341,325,328,331,325,324,314,275
Skill,Necromancer,Bone Spirit,21,19,39,39,39,33,33,33
Skill,Necromancer,Poison Nova,652,613,672,708,748,748,736,716
Skill,Necromancer,Amplify Damage,63,66,84,86,97,96,106,106
Skill,Necromancer,Dim Vision,574,544,534,500,467,447,415,397
Skill,Necromancer,Hemorrhage,2360,2200,2120,2000,1941,1921,1861,1821
Skill,Necromancer,Weaken,2352,2195,2115,1995,1935,1915,1855,1815
Skill,Necromancer,Iron Maiden,2338,2200,2120,2000,1940,1920,1860,1820
Skill,Necromancer,Terror,1,1,1,1,1,1,1,1
Skill,Necromancer,Confuse,4,4,4,4,7,7,7,7
Skill,Necromancer,Life Tap,2360,2204,2123,2003,1943,1923,1863,1823
Skill,Necromancer,Attract,5,5,5,4,4,4,4,4
